City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,namibe,-15.1961,12.1522,295.7,75,94,2.09,AO,1675459643
36,kartuzy,54.3342,18.1974,272.77,96,75,7.2,PL,1675459643
37,dikson,73.5069,80.5464,257.49,96,100,0.27,RU,1675459644
38,new norfolk,-42.7826,147.0587,285.33,84,100,0.89,AU,1675459644
39,ponta do sol,32.6667,-17.1,289.5,52,52,2.86,PT,1675459645
40,mount gambier,-37.8333,140.7667,287.08,81,66,4.06,AU,1675459646
41,ribeira grande,38.5167,-28.7,289.69,94,75,6.26,PT,1675459646
42,castro,-24.7911,-50.0119,291.87,96,100,3.77,BR,1675459647
43,olafsvik,64.8945,-23.7142,275.41,75,68,18.28,IS,1675459648
44,erie,42.7667,-78.6664,259.88,53,100,7.15,US,1675459622
45,saint-philippe,-21.3585,55.7679,298.92,88,86,4.58,RE,1675459649
46,healdsburg,38.6105,-122.8692,286.06,78,100,0.0,US,1675459448
47,sergeyevka,53.88,67.4158,251.53,98,22,1.95,KZ,1675459650
48,chuy,-33.6971,-53.4616,294.68,81,89,5.48,UY,1675459651
49,pevek,69.7008,170.3133,241.64,99,20,1.49,RU,1675459652
50,rikitea,-23.1203,-134.9692,298.93,72,99,3.09,PF,1675459653
51,bambous virieux,-20.3428,57.7575,298.29,94,40,2.57,MU,1675459654
52,yangambi,0.8102,24.4336,297.49,64,60,0.74,CD,1675459655
53,tuktoyaktuk,69.4541,-133.0374,232.15,66,75,1.03,CA,1675459655
54,carnarvon,-24.8667,113.6333,298.9,78,26,3.74,AU,1675459656
55,thompson,55.7435,-97.8558,251.24,77,100,1.54,CA,1675459622
56,luena,-11.7833,19.9167,291.18,92,81,1.31,AO,1675459656
57,srednekolymsk,67.45,153.6833,247.27,98,100,3.94,RU,1675459657
58,atuona,-9.8,-139.0333,299.01,81,24,9.0,PF,1675459657
59,rio grande,-32.035,-52.0986,299.21,72,44,4.32,BR,1675459658
60,butaritari,3.0707,172.7902,300.56,78,7,8.97,KI,1675459658
61,lavrentiya,65.5833,-171.0,245.79,93,20,3.68,RU,1675459659
62,talaya,61.3833,152.75,240.15,100,100,0.22,RU,1675459659
63,sabattus,44.1198,-70.1076,254.92,47,77,6.39,US,1675459660
64,arraial do cabo,-22.9661,-42.0278,301.07,69,40,4.63,BR,1675459660
65,virtsu,58.5716,23.5115,270.96,70,100,6.23,EE,1675459660
66,hermanus,-34.4187,19.2345,291.37,74,0,5.67,ZA,1675459661
67,yellowknife,62.456,-114.3525,249.44,70,75,2.57,CA,1675459661
68,ostrovnoy,68.0531,39.5131,260.48,94,99,3.62,RU,1675459662
69,wajima,37.4,136.9,276.71,90,93,4.14,JP,1675459662
70,bredasdorp,-34.5322,20.0403,292.0,78,0,4.26,ZA,1675459663
71,bilibino,68.0546,166.4372,245.72,93,12,3.09,RU,1675459390
72,margate,51.3813,1.3862,283.08,81,39,2.24,GB,1675459614
73,dongli,23.5656,116.8194,287.14,88,75,1.0,CN,1675459664
74,pitharion,35.5167,24.0833,281.99,76,40,3.6,GR,1675459664
75,mar del plata,-38.0023,-57.5575,296.45,73,40,6.69,AR,1675459375
76,chalus,36.655,51.4204,279.85,87,75,0.0,IR,1675459665
77,shyroke,47.6917,33.2571,272.79,94,100,5.01,UA,1675459666
78,nanortalik,60.1432,-45.2371,265.62,69,100,13.99,GL,1675459667
79,erzin,36.9559,36.2,280.56,67,100,3.05,TR,1675459668
80,urumqi,43.801,87.6005,261.68,79,92,0.0,CN,1675459081
81,amli,20.2833,73.0167,294.4,38,59,1.16,IN,1675459669
82,kavaratti,10.5669,72.642,300.5,66,99,2.87,IN,1675459670
83,gigmoto,13.7796,124.39,298.05,83,80,7.12,PH,1675459670
84,barrow,71.2906,-156.7887,247.16,76,0,7.72,US,1675459400
85,hithadhoo,-0.6,73.0833,300.85,68,69,8.91,MV,1675459671
86,ushuaia,-54.8,-68.3,284.96,66,75,11.32,AR,1675459518
87,airai,-8.9266,125.4092,288.6,97,100,0.83,TL,1675459518
88,cherskiy,68.75,161.3,244.4,100,97,0.5,RU,1675459672
89,hilo,19.7297,-155.09,301.08,70,40,4.12,US,1675459672
90,khatanga,71.9667,102.5,239.88,99,81,1.78,RU,1675459673
91,zalantun,48.0,122.7167,252.11,92,70,2.26,CN,1675459673
92,flinders,-34.5833,150.8552,290.96,59,0,4.92,AU,1675459674
93,santa cruz,-17.8,-63.1667,298.18,83,75,5.66,BO,1675459461
94,bluff,-46.6,168.3333,291.41,88,8,1.93,NZ,1675459674
